shelter_id,address,lat,lon
121,서울특별시 중랑구 신내로15길 197 (중랑구립정보도서관),37.615219,127.08694
122,서울특별시 중랑구 숙선옹주로 45 (이편한세상 화랑대 근린생활시설동),37.616373,127.082972
123,서울특별시 중랑구 공릉로13길 30 (묵동신도아파트),37.616738,127.077444
124,서울특별시 중랑구 동일로130길 9 (중화동),37.5997869,127.0806261
125,서울특별시 중랑구 동일로138길 28 (중화동),37.6033076,127.08114
126,"서울특별시 중랑구 공릉로2라길 4 (신안3차아파트 관리사무소,노인정)",37.612506,127.081663
127,서울특별시 중랑구 공릉로2길 47 (신안1차아파트 상가 상가동),37.612672,127.08099
128,서울특별시 중랑구 신내로21길 16 (신내두산대림아파트),37.61704,127.088148
129,서울특별시 중랑구 동일로154길 38,37.609047,127.080358
130,서울특별시 중랑구 동일로 874 (묵동),37.6085772,127.0784088
131,서울특별시 중랑구 신내로21길 6 (신내두산아파트 상가동),37.617289,127.090109
132,서울특별시 중랑구 공릉로2라길 26 (묵동경로당),37.613301,127.081714
133,서울특별시 중랑구 공릉로2가길 5 (묵1동주민센터),37.612418,127.078498
134,서울특별시 중랑구 신내로15길 189,37.6151765,127.0875439
135,서울특별시 중랑구 중랑역로 159,37.607554,127.07639
136,서울특별시 중랑구 중랑천로 316 (묵동월드메르디앙아파트 101동),37.612974,127.073466
137,서울특별시 중랑구 동일로169길 41 (동구햇살아파트 101동),37.613348,127.074475
138,서울특별시 중랑구 중랑천로 286 (묵동아이파크아파트 관리동),37.610458,127.07367
139,서울특별시 중랑구 동일로 941 (극동늘푸른아파트 관리사무소),37.614673,127.076223
140,서울특별시 중랑구 중랑천로 332 (묵동한국아파트 관리사무소),37.614214,127.073627
141,,37.6162826,127.0746228
142,서울특별시 중랑구 중랑역로 181,37.609572,127.075957
143,서울특별시 중랑구 중랑천로 252-1 (구립학수경로당),37.607217,127.073525
144,서울특별시 중랑구 중랑역로 209-3,37.612148,127.075388
