진료개시년도,지역,환자수
2022,연제구,29
2022,수영구,18
2022,사상구,81
2022,기장군,17
2022,중구,9
2022,동구,40
2022,서구,37
2022,남구,28
2022,북구,32
2022,수성구,56
2022,달서구,44
2022,달성군,28
2022,중구,24
2022,동구,6
2022,미추홀구,28
2022,연수구,38
2022,남동구,60
2022,부평구,86
2022,계양구,40
2022,서구,93
2022,강화군,8
2022,옹진군,9
2022,동구,14
2022,서구,58
2022,남구,23
2022,북구,56
2022,광산구,72
2022,동구,42
2022,중구,72
2022,서구,150
2022,유성구,212
2022,대덕구,83
2022,중구,63
2022,남구,29
2022,동구,26
2022,북구,17
2022,울주군,43
2022,세종시,108
2022,수원시 장안구,26
2022,수원시 권선구,63
2022,수원시 팔달구,49
2022,수원시 영통구,42
2022,성남시 수정구,37
2022,성남시 중원구,48
2022,성남시 분당구,459
2022,의정부시,42
2022,안양시 만안구,22
2022,안양시 동안구,19
2022,부천시,178
2022,광명시,30
2022,평택시,117
2022,동두천시,25
2022,안산시 상록구,50
2022,안산시 단원구,88
2022,고양시 덕양구,102
2022,고양시 일산동구,52
2022,고양시 일산서구,32
2022,과천시,12
2022,구리시,43
2022,남양주시,105
2022,오산시,29
2022,시흥시,118
2022,군포시,22
2022,의왕시,17
2022,하남시,34
2022,용인시 처인구,52
2022,용인시 기흥구,60
2022,용인시 수지구,173
2022,파주시,98
2022,이천시,85
2022,안성시,23
2022,김포시,36
2022,화성시,148
2022,광주시,79
2022,양주시,27
2022,포천시,56
2022,여주시,25
2022,연천군,7
2022,가평군,10
2022,양평군,23
2022,춘천시,34
2022,원주시,41
2022,강릉시,20
2022,동해시,8
2022,태백시,*
2022,속초시,11
2022,삼척시,22
2022,홍천군,18
2022,횡성군,24
2022,영월군,7
2022,평창군,6
2022,정선군,7
2022,철원군,12
2022,화천군,*
2022,양구군,*
2022,인제군,6
2022,고성군,*
2022,양양군,*
2022,청주시 상당구,406
2022,청주시 서원구,57
2022,청주시 흥덕구,35
2022,청주시 청원구,32
2022,충주시,70
2022,제천시,13
2022,보은군,6
2022,옥천군,55
2022,영동군,36
2022,증평군,*
2022,진천군,106
2022,괴산군,16
2022,음성군,47
2022,단양군,8
2022,천안시 동남구,75
2022,천안시 서북구,139
2022,공주시,33
2022,보령시,16
2022,아산시,108
2022,서산시,21
2022,논산시,35
2022,계룡시,5
2022,당진시,126
2022,금산군,13
2022,부여군,47
2022,서천군,84
2022,청양군,6
2022,홍성군,14
2022,예산군,16
2022,태안군,165
2022,전주시 완산구,63
2022,전주시 덕진구,75
2022,군산시,156
2022,익산시,42
2022,정읍시,50
2022,남원시,27
2022,김제시,134
2022,완주군,24
2022,진안군,10
2022,무주군,19
2022,장수군,*
2022,임실군,34
2022,순창군,18
2022,고창군,7
2022,부안군,17
2022,목포시,57
2022,여수시,94
2022,순천시,71
2022,나주시,16
2022,광양시,178
2022,담양군,16
2022,곡성군,5
2022,구례군,54
2022,고흥군,23
2022,보성군,34
2022,화순군,18
2022,장흥군,17
2022,강진군,9
2022,해남군,111
2022,영암군,14
2022,무안군,28
2022,함평군,11
2022,영광군,11
2022,장성군,19
2022,완도군,13
2022,진도군,15
2022,신안군,31
2022,포항시 남구,59
2022,포항시 북구,63
2022,경주시,40
2022,김천시,35
2022,안동시,17
2022,구미시,121
2022,영주시,21
2022,영천시,154
2022,상주시,69
2022,문경시,9
2022,경산시,37
2022,군위군,*
2022,의성군,65
2022,청송군,10
2022,영양군,*
2022,영덕군,27
2022,청도군,16
2022,고령군,7
2022,성주군,18
2022,칠곡군,17
2022,예천군,17
2022,봉화군,*
2022,울진군,48
2022,창원시 의창구,30
2022,창원시 성산구,31
2022,창원시 마산합포구,26
2022,창원시 마산회원구,19
2022,창원시 진해구,58
2022,진주시,97
2022,통영시,45
2022,사천시,33
2022,김해시,271
2022,밀양시,33
2022,거제시,100
2022,양산시,346
2022,의령군,*
2022,함안군,11
2022,창녕군,157
2022,고성군,22
2022,남해군,20
2022,하동군,10
2022,산청군,11
